Console,North America (M),Europe (M),Japan (M),Rest of World (M),Total Sales (M)
Nintendo DS (DS),57.92,51.84,32.99,11.28,154.02
Nintendo Switch (NS),52.78,38.76,35.69,23.13,150.36
Game Boy (GB),43.18,40.05,32.47,2.99,118.69
Nintendo Wii (Wii),45.51,33.12,12.77,10.23,101.63
Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
Nintendo 3DS (3DS),25.47,20.45,24.67,5.35,75.94
Nintendo Entertainment System (NES),33.49,8.30,19.35,0.77,61.91
Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.90,49.10
Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
GameCube (GC),12.55,4.44,4.04,0.71,21.74
Nintendo Wii U (WiiU),6.15,3.27,3.33,0.82,13.56
Virtual Boy (VB),N/A,N/A,0.14,N/A,0.77
